TCNitrousRun,PTFill,LCThrust
-0.3376557,0.9758975,0.5479854
-0.3441026,0.9895971,0.5544322
-0.3352381,0.9855679,0.5665202
-0.3304029,0.9855679,0.5431502
-0.336044,0.9968498,0.5584616
-0.3384615,0.9992674,0.5624908
-0.3505495,1.000879,0.567326
-0.3449084,1.003297,0.5705494
-0.3505495,0.9920147,0.5705494
-0.3191209,0.9702564,0.5375092
-0.3320147,0.9855679,0.5495971
-0.3481319,0.938022,0.5431502
-0.4069597,1.012967,0.5898901
-0.3610256,0.9879854,0.5431502
-0.3561905,0.9984615,0.5528205
-0.3497436,1.008132,0.5632967
-0.3465202,1.007326,0.5641026
-0.3449084,1.004103,0.567326
-0.370696,1.027472,0.5987546
-0.3634432,1.021026,0.5947252
-0.3465202,0.9791209,0.5810256
-0.3618315,1.016191,0.5834432
-0.3755311,1.021026,0.5947252
-0.3723077,1.010549,0.5866666
-0.3384615,0.9871796,0.5608791
-0.3610256,1.003297,0.5850549
-0.3610256,0.9887913,0.5947252
-0.3481319,0.9468864,0.5608791
-0.3803663,0.9775092,0.5471795
-0.3352381,0.9605862,0.5254212
-0.3400733,0.9605862,0.5479854
-0.3690842,0.9775092,0.5568499
-0.3521612,0.9871796,0.5810256
-0.3457143,0.9710623,0.5528205
-0.3368498,0.9694506,0.5608791
-0.3118681,0.9517217,0.538315
-0.323956,0.949304,0.5520146
-0.3142857,0.9533334,0.5367033
-0.336044,0.9734798,0.556044
-0.3481319,0.984762,0.5705494
-0.323956,0.9702564,0.5479854
-0.3449084,0.9887913,0.5737729
-0.3521612,1.000073,0.590696
-0.3626374,0.9895971,0.6060073
-0.3384615,0.9654213,0.5568499
-0.3610256,0.9895971,0.5898901
-0.3569963,0.9775092,0.5866666
-0.3723077,0.967033,0.5874725
-0.3279853,0.943663,0.5665202
-0.3384615,0.9734798,0.5689377
-0.3287912,0.9154579,0.590696
-0.3199267,0.920293,0.5536263
-0.3578022,0.9646154,0.5689377
-0.3634432,0.961392,0.5681319
-0.3336264,0.9533334,0.5399268
-0.3424909,0.9742857,0.561685
-0.3497436,0.9750916,0.5721612
-0.3287912,0.9734798,0.5512088
-0.3392674,0.9783151,0.5657143
-0.3191209,0.9646154,0.5479854
-0.3408791,0.9887913,0.5769963
-0.3449084,0.9984615,0.578608
-0.352967,1.009744,0.5874725
-0.352967,1.008938,0.590696
-0.352967,1.007326,0.5882784
-0.347326,0.9855679,0.5826374
-0.3271795,0.9758975,0.5528205
-0.3102564,0.9581685,0.5294505
-0.323956,0.9581685,0.5479854
-0.3191209,0.9605862,0.5375092
-0.3263736,0.9694506,0.5528205
-0.3384615,0.9775092,0.567326
-0.3110623,0.9533334,0.5334799
-0.2973626,0.938022,0.5399268
-0.3320147,0.9742857,0.5665202
-0.3513553,0.9976557,0.6043956
-0.3537729,0.9783151,0.6027839
-0.3755311,0.9734798,0.578608
-0.3505495,0.984762,0.5915018
-0.3650549,0.9799268,0.6060073
-0.3513553,1.007326,0.5834432
-0.3642491,0.996044,0.596337
-0.3658608,0.9791209,0.590696
-0.3336264,0.9517217,0.5463736
-0.3497436,0.9871796,0.5681319
-0.3610256,1.011355,0.5882784
-0.3279853,0.9654213,0.5447619
-0.3215384,0.9646154,0.5318682
-0.336044,0.9758975,0.5544322
-0.3392674,0.9839561,0.5584616
-0.341685,0.9887913,0.5649085
-0.3441026,0.9984615,0.5753846
-0.3505495,1.007326,0.5834432
-0.3465202,0.996044,0.590696
-0.3344322,0.9775092,0.5632967
-0.3328205,0.9767034,0.5681319
-0.3191209,0.961392,0.5455678
-0.3352381,0.9775092,0.5729671
-0.3231502,0.9694506,0.5487912
-0.3432967,0.961392,0.5778022
-0.3255677,0.9533334,0.5407326
-0.3086447,0.9356045,0.5149451
-0.3013919,0.9275458,0.5125275
-0.2917216,0.920293,0.4996337
-0.2852747,0.9170696,0.4972161
-0.2876923,0.9154579,0.4931869
-0.2739927,0.9073993,0.4931869
-0.3287912,0.9541392,0.5447619
-0.3094505,0.9396338,0.5173626
-0.2933333,0.9243223,0.503663
-0.283663,0.9146521,0.4956044
-0.2772161,0.9114286,0.4915751
-0.2772161,0.9138462,0.492381
-0.2691575,0.8993407,0.5012455
-0.2909158,0.9444689,0.5358974
-0.3094505,0.9517217,0.5302564
-0.3062271,0.961392,0.5358974
-0.3255677,0.9517217,0.5641026
-0.3255677,0.9581685,0.5915018
-0.3312088,0.9420513,0.5866666
-0.3441026,0.9501099,0.5737729
